Категория,Значение
D,30.33781
D,57.89405
D,67.3814
C,58.04567
A,22.03461
B,19.75012
B,52.70935
C,10.14333
A,41.75993
D,33.90569
A,44.52702
A,28.67385
D,4.40422
D,98.52567
C,42.3179
D,61.68878
C,36.1695
B,73.09395
A,90.1559
A,85.29544
A,86.97477
A,60.70509
B,68.40959
A,66.61044
D,45.58541
C,1.65778
D,52.60964
A,41.23487
C,19.42007
A,85.02697
D,4.43178
B,20.83827
C,90.827
C,54.90993
A,66.69837
B,96.56694
C,64.72398
D,57.32724
C,39.8027
A,31.57992
B,78.46572
C,90.08426
D,88.56555
D,63.96643
D,31.36495
D,12.23916
C,64.4207
B,77.74978
A,20.26998
B,30.12368
C,68.79215
C,36.7131
C,90.98358
C,59.33282
B,0.90919
B,72.55307
A,86.97689
C,61.048
A,70.79404
A,71.88927
B,65.82388
D,48.67388
C,10.24921
C,4.35202
D,38.24606
D,45.50605
C,6.69327
B,56.39559
B,71.99829
A,33.2775
D,47.86518
C,11.73552
A,17.53264
C,22.82492
B,53.04434
D,91.21155
A,62.67429
A,15.35053
D,62.32002
A,27.83954
B,94.95502
C,9.96893
B,92.93615
D,67.7087
B,84.88811
D,69.56825
C,71.27188
D,14.082
B,23.48663
B,18.83744
C,44.81048
D,43.15616
B,3.94125
B,79.86126
C,32.7781
C,50.28352
C,80.37948
D,90.55138
D,88.87323
D,7.74333
C,66.45819
D,13.86383
C,68.62478
D,61.94758
D,70.63096
B,45.64583
C,39.48783
A,76.11179
B,13.02922
B,70.54349
B,50.76116
D,66.44718
C,3.67426
A,53.92694
A,75.9281
D,34.49585
B,93.31183
D,13.63217
A,6.5941
B,91.45061
D,88.79993
A,66.26398
A,52.21546
B,98.30022
C,14.90848
D,83.16004
B,56.48724
C,58.36641
A,4.12719
B,61.97785
A,75.16316
B,93.58988
B,32.05401
C,32.77676
B,21.24737
B,15.35949
D,44.29049
C,23.0432
A,45.33427
D,92.6967
C,80.98643
A,47.25347
B,94.4294
D,61.37586
A,54.23861
C,70.40108
A,79.17524
B,40.5672
D,21.33494
B,78.69262
C,73.30048
B,46.25871
B,75.68117
D,95.85485
C,33.35146
C,40.45913
B,47.4356
A,32.95565
A,35.85162
B,95.32542
D,55.84797
D,89.26379
A,15.25999
A,55.97747
C,87.53043
D,99.47552
C,78.68345
C,8.70274
D,72.18892
A,87.95362
A,34.48336
D,39.34726
C,69.63459
A,19.98475
C,36.87687
C,64.00156
A,33.8466
D,44.56486
C,85.23703
A,9.37118
A,57.66667
A,71.00146
A,55.74123
C,80.67101
A,48.69123
C,42.58134
C,2.19131
C,74.9025
B,36.06395
C,89.87157
C,47.12822
D,63.90032
A,99.31926
A,22.44912
C,29.20054
D,48.79704
D,32.20509
C,68.24987
B,25.01325
C,16.13
B,79.48402
D,77.10767
B,24.27161
B,30.20044
C,46.90172
A,1.23418
C,55.33967
B,23.56452
D,37.44106
A,94.74124
B,80.58192
C,4.82145
B,1.54381
B,5.33341
A,9.79551
A,4.04351
B,90.15164
A,51.57659
C,70.00306
B,21.64351
D,90.52909
B,6.97562
B,29.52735
D,66.30747
B,65.24952
B,81.38681
D,18.37926
A,35.87956
A,93.68081
B,93.27138
D,1.1195
A,41.39803
C,93.12618
C,84.15448
D,13.64601
C,96.95897
D,10.89181
B,66.26016
D,87.88812
B,85.64325
A,38.75853
B,73.5581
B,41.41782
D,87.99293
A,27.86129
D,36.32711
A,6.46676
C,74.45106
A,1.53317
B,46.7741
C,49.34736
B,6.27449
D,18.32543
B,39.24514
B,79.05393
C,42.11815
A,28.34583
D,28.09027
B,10.55205
D,7.73152
C,61.80594
A,43.16694
A,42.41536
A,83.95401
B,82.58308
B,21.4915
A,89.91422
C,73.684
B,0.14558
D,16.61394
C,35.67914
B,98.65023
A,16.97324
B,25.90798
D,57.45717
D,1.76389
D,49.19133
C,48.75981
D,97.45256
A,80.49793
C,8.15004
D,46.67368
B,15.69419
A,33.82518
D,44.05741
C,53.8445
D,19.67413
D,55.1739
B,17.3503
B,30.11371
C,33.79016
A,46.72394
B,58.07579
C,23.49695
A,30.73528
B,16.83895
B,43.9373
A,42.13318
D,98.96052
A,65.51985
D,28.53479
A,23.95654
D,26.29034
B,29.08351
B,34.7794
D,23.64429
A,91.5547
A,80.78831
B,33.91546
B,52.35518
C,0.21847
A,22.14837
C,35.73385
D,69.83026
C,66.24443
D,35.01472
C,48.6886
C,55.41503
A,97.18844
C,94.8376
A,57.07674
A,43.33238
D,37.6427
A,60.69501
B,57.99649
D,34.51221
D,51.22973
D,17.25456
A,78.08663
A,14.04873
D,1.57915
C,38.39953
B,54.83702
B,34.90319
D,60.33694
A,86.88009
A,42.03214
D,30.36204
D,59.4657
C,26.9656
C,24.68515
A,72.09513
B,26.65316
B,56.85651
C,50.65143
B,42.70899
A,9.79476
A,64.77416
B,73.06472
B,86.49273
C,13.11644
A,71.93742
D,83.63577
A,15.69506
D,81.9882
B,30.47923
B,88.7836
C,79.49621
B,39.41707
D,65.95322
D,77.29069
B,91.35016
C,28.27206
C,28.97327
B,29.58069
D,0.3087
A,36.07442
D,40.87077
A,9.8388
A,60.60272
A,82.1144
B,30.54832
C,14.04462
